gene_name	array_data_file_names	composite_element_ref	protein_name	qc_score	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	website
PIK3CA	PI3K-p110-alpha-R-C_GBL1112824.txt	PI3K-p110-alpha-R-C	PI3K-p110-alpha	0.9691088	Use with Caution	Rabbit	CST	4255	http://www.cellsignal.com/products/4255.html
PIK3R1	PI3K-p85-R-V_GBL1112792.txt	PI3K-p85-R-V	PI3K-p85	0.9710037	Validated	Rabbit	Upstate (Millipore)	06-195	https://www.millipore.com/catalogue/item/06-195
PRKCA	PKC-alpha-M-V_GBL1112905.txt	PKC-alpha-M-V	PKC-alpha	0.9343754	Validated	Mouse	Upstate (Millipore)	05-154	https://www.millipore.com/catalogue/item/05-154
PRKCA	PKC-alpha_pS657-R-C_GBL1112793.txt	PKC-alpha_pS657-R-C	PKC-alpha_pS657	0.9603017	Use with Caution	Rabbit	Upstate (Millipore)	06-822	https://www.millipore.com/catalogue/item/06-822
PRKCD	PKC-delta_pS664-R-V_GBL1112844.txt	PKC-delta_pS664-R-V	PKC-delta_pS664	0.9533274	Validated	Rabbit	Millipore	07-875	https://www.millipore.com/catalogue/item/07-875
PKC	PKC-pan_BetaII_pS660-R-V_GBL1112878.txt	PKC-pan_BetaII_pS660-R-V	PKC-pan_BetaII_pS660	0.9693974	Validated	Rabbit	CST	9371	http://www.cellsignal.com/products/9371.html
PGR	PR-R-V_GBL1112794.txt	PR-R-V	PR	0.950795	Validated	Rabbit	Epitomics	1483-1	http://www.epitomics.com/products/product_info/354/Progesterone-antibody-1483-1.html
AKT1S1	PRAS40_pT246-R-V_GBL1112813.txt	PRAS40_pT246-R-V	PRAS40_pT246	0.9666436	Validated	Rabbit	Biosource	441100G	http://products.invitrogen.com/ivgn/product/441100G?ICID=search-441100g
PRDX1	PRDX1-R-V_GBL1112971.txt	PRDX1-R-V	PRDX1	0.9313305	Under Evaluation	Rabbit	Sigma/Atlas	HPA007730	http://www.sigmaaldrich.com/catalog/product/sigma/hpa007730?lang=en&amp;region=US
PREX1	PREX1-R-E_GBL1112889.txt	PREX1-R-E	PREX1	0.9553033	Validated	Rabbit	Abcam	ab102739	http://www.abcam.com/prex1-antibody-ab102739.html
PTEN	PTEN-R-V_GBL1112796.txt	PTEN-R-V	PTEN	0.9738292	Validated	Rabbit	CST	9552	http://www.cellsignal.com/products/9552.html
RAB11A RAB11B	Rab11-R-E_GBL1112864.txt	Rab11-R-E	Rab11	0.9524091	Under Evaluation	Rabbit	CST	3539	http://www.cellsignal.com/products/3539.html
RAB25	Rab25-R-V_GBL1112883.txt	Rab25-R-V	Rab25	0.9603709	Validated	Rabbit	CST	4314	http://www.cellsignal.com/products/4314.html
RAD50	Rad50-M-V_GBL1112920.txt	Rad50-M-V	Rad50	0.9527337	Validated	Mouse	Millipore	05-525	https://www.millipore.com/catalogue/item/05-525
RAD51	Rad51-R-V_GBL1112892.txt	Rad51-R-V	Rad51	0.9465889	Validated	Rabbit	CST	8875	http://www.cellsignal.com/products/primary-antibodies/8875?hit=productId&amp;Ntt=8875
RPTOR	Raptor-R-V_GBL1112875.txt	Raptor-R-V	Raptor	0.9726319	Validated	Rabbit	CST	2280	http://www.cellsignal.com/products/2280.html
RB1	Rb_pS807_S811-R-V_GBL1112795.txt	Rb_pS807_S811-R-V	Rb_pS807_S811	0.9606472	Validated	Rabbit	CST	9308	http://www.cellsignal.com/products/9308.html
RBM15	RBM15-R-V_GBL1112879.txt	RBM15-R-V	RBM15	0.9686519	Validated	Rabbit	SDI / Novus	21390002	http://www.novusbio.com/RBM15-Antibody_21390002.html
